Date,Open,High,Low,Close,Adj Close,Volume
2001-12-18,254000,269500,254000,260500,228502.5469,1134500
2001-12-19,265500,267500,262500,264000,231572.6406,617400
2001-12-20,260000,270500,255500,265000,232449.7969,648700
2001-12-21,255000,259500,250000,251500,220608,833000
2001-12-24,252500,258000,250500,252500,221485.2344,408600
2001-12-26,256500,259500,254000,258000,226309.6094,434900
2001-12-27,260000,271000,259000,270000,236835.6563,807100
2001-12-28,280000,281000,275500,279000,244730.1875,769600
2002-01-02,283000,308000,281000,308000,270168.0938,1142000
2002-01-04,319000,320500,314500,319000,279816.9375,1009400
2002-01-07,313000,321500,308500,318000,278939.8125,1029100
2002-01-08,319500,319500,309500,311500,273238.1563,760100
2002-01-09,310500,322500,309500,322500,282887.0938,902400
2002-01-10,318000,321000,308000,308000,270168.0938,1096900
2002-01-11,312000,317500,302000,306000,268413.7188,953600
2002-01-14,302500,330000,302000,330000,289465.875,978000
2002-01-15,321500,323000,308000,312000,273676.7813,1377500
2002-01-16,307500,312500,301500,301500,264466.5,1206600
2002-01-17,295000,303000,293000,300000,263150.7188,1112100
2002-01-18,300500,302000,294000,296000,259642.0781,885200
2002-01-21,290000,292000,286000,291000,255256.1719,825300
2002-01-22,292000,302500,292000,300000,263150.7188,657900
